,valid_start,AIR_TEMP,AIR_TEMP_MAX,AIR_TEMP_MIN,PRCP,total_demand,demand_prediction
2693,2015-08-20 19:00:00,10.590540540540541,11.045945945945945,10.075675675675676,0.008219178082191782,12718.14,10199.900716885651
2694,2015-08-20 20:00:00,10.5,10.978378378378379,10.036486486486487,0.0027397260273972603,12258.06,10272.638808139218
2695,2015-08-20 21:00:00,10.605405405405405,11.356756756756756,10.308108108108108,0.0027397260273972603,11722.55,10179.673067300726
2696,2015-08-20 22:00:00,11.114864864864865,12.121621621621621,10.936486486486485,0.0027397260273972603,10963.5,10137.444576734279
2697,2015-08-20 23:00:00,11.95945945945946,12.97162162162162,11.717567567567567,0.0027397260273972603,10156.51,9823.381704253137
2698,2015-08-21 00:00:00,12.68108108108108,13.95810810810811,12.463513513513513,0.0,10437.39,9592.464021130469
2699,2015-08-21 01:00:00,13.654054054054054,14.822972972972973,13.372972972972974,0.010958904109589041,9740.970000000001,9396.126819316323
2700,2015-08-21 02:00:00,14.409459459459459,15.162162162162161,13.93918918918919,0.019178082191780823,8978.04,9433.04908778281
2701,2015-08-21 03:00:00,14.528378378378378,15.055405405405404,14.02027027027027,0.00821917808219178,8230.98,9836.395063356804
2702,2015-08-21 04:00:00,14.514864864864863,15.090540540540541,14.004054054054054,0.01643835616438356,7974.4400000000005,9710.419328765294
2703,2015-08-21 05:00:00,14.447297297297297,14.967567567567567,13.879729729729728,0.01643835616438356,7930.32,9724.945181048734
2704,2015-08-21 06:00:00,14.389189189189189,14.806756756756757,13.782432432432433,0.010958904109589041,8490.21,9915.151652824468
2705,2015-08-21 07:00:00,14.100000000000001,14.355405405405405,13.002702702702702,0.01917808219178082,10045.26,9679.580363327346
2706,2015-08-21 08:00:00,13.243243243243244,13.55,12.340540540540541,0.0136986301369863,11304.060000000001,9753.389540679342
2707,2015-08-21 09:00:00,12.716216216216216,13.155405405405405,11.972972972972974,0.03561643835616438,11997.44,9638.725333116185
2708,2015-08-21 10:00:00,12.405405405405405,12.9,11.731081081081081,0.12054794520547946,11947.9,9588.048841604425
2709,2015-08-21 11:00:00,12.2,12.706756756756755,11.43108108108108,0.03835616438356164,11637.5,9482.787698436608
2710,2015-08-21 12:00:00,11.927027027027027,12.293243243243245,11.086486486486486,0.0136986301369863,11319.41,9737.818790479074
2711,2015-08-21 13:00:00,11.468493150684932,11.913698630136986,10.672602739726027,0.008219178082191782,11236.57,9661.570780930724
2712,2015-08-21 14:00:00,11.09041095890411,11.487671232876712,10.408219178082192,0.01917808219178082,11184.92,9963.26170398145
2713,2015-08-21 15:00:00,10.773972602739725,11.175342465753424,9.956164383561644,0.0136986301369863,11090.119999999999,9801.09064543129
2714,2015-08-21 16:00:00,10.295890410958904,10.710958904109589,9.315068493150685,0.0136986301369863,11074.84,9662.401207455685
2715,2015-08-21 17:00:00,9.712328767123287,10.13013698630137,8.872602739726029,0.019178082191780823,11225.31,9897.08847414187
2716,2015-08-21 18:00:00,9.42054794520548,9.898630136986302,8.523287671232877,0.0136986301369863,11608.59,9781.664091629904
2717,2015-08-21 19:00:00,9.017808219178082,9.45068493150685,8.119178082191782,0.0136986301369863,12154.74,9943.151441751746
2718,2015-08-21 20:00:00,8.604166666666666,9.024999999999999,7.906944444444444,0.016438356164383564,11788.78,10307.645937149347
2719,2015-08-21 21:00:00,8.280821917808218,9.665753424657535,7.957534246575342,0.0027397260273972603,11194.98,10089.674105788472
2720,2015-08-21 22:00:00,9.563013698630137,11.886301369863014,9.454794520547946,0.0027397260273972603,10523.04,10200.335929446093
2721,2015-08-21 23:00:00,11.833783783783785,13.69864864864865,11.685135135135136,0.0027397260273972603,9970.51,9747.892231018195
2722,2015-08-22 00:00:00,13.467567567567567,14.847297297297297,13.20945945945946,0.0027397260273972603,10536.14,9330.742157715453
2723,2015-08-22 01:00:00,14.409459459459459,15.647297297297298,14.06081081081081,0.0027397260273972603,9793.14,9105.79440305334
2724,2015-08-22 02:00:00,15.13783783783784,16.177027027027027,14.682432432432432,0.0136986301369863,8905.2,9015.54481837351
2725,2015-08-22 03:00:00,15.55,16.514864864864865,14.910810810810812,0.0,8364.8,8750.586642621089
2726,2015-08-22 04:00:00,15.608108108108109,16.41216216216216,14.947297297297297,0.0,8163.639999999999,8972.31423911732
2727,2015-08-22 05:00:00,15.486486486486486,16.037837837837838,14.741891891891893,0.0,8049.75,9368.309507411908
2728,2015-08-22 06:00:00,15.068918918918918,15.45,14.04054054054054,0.0,8258.14,9437.215753235858
2729,2015-08-22 07:00:00,14.159459459459459,14.295945945945947,12.444594594594594,0.030136986301369864,8912.8,9600.02136584272
2730,2015-08-22 08:00:00,12.50810810810811,12.683783783783785,11.133783783783784,0.010958904109589041,9256.720000000001,9699.979045073702
2731,2015-08-22 09:00:00,11.366216216216216,11.63783783783784,10.197297297297297,0.0,9820.18,9690.450451693036
2732,2015-08-22 10:00:00,10.404054054054054,10.67837837837838,9.394594594594595,0.03561643835616438,9780.25,9898.33119511305
2733,2015-08-22 11:00:00,9.805405405405406,10.095945945945946,8.80945945945946,0.008219178082191782,9367.09,9981.249647274792
